合约代码,交易日期,时间,最新价,上次结算价,昨收盘,昨持仓量,今开盘,最高价,最低价,数量,成交金额,持仓量,今收盘,本次结算价,涨停板价,跌停板价
T1806,20180309,15:03:18,92.97,92.91,92.94,41183,92.9,93.095,92.77,31087,2.88836e+10,42181,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:18,92.97,92.91,92.94,41183,92.9,93.095,92.77,31087,2.88836e+10,42181,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:19,92.97,92.91,92.94,41183,92.9,93.095,92.77,31088,2.88845e+10,42180,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:19,92.97,92.91,92.94,41183,92.9,93.095,92.77,31088,2.88845e+10,42180,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:20,92.97,92.91,92.94,41183,92.9,93.095,92.77,31088,2.88845e+10,42180,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:20,92.97,92.91,92.94,41183,92.9,93.095,92.77,31088,2.88845e+10,42180,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:21,92.965,92.91,92.94,41183,92.9,93.095,92.77,31096,2.88919e+10,42177,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:22,92.965,92.91,92.94,41183,92.9,93.095,92.77,31096,2.88919e+10,42177,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:23,92.965,92.91,92.94,41183,92.9,93.095,92.77,31096,2.88919e+10,42177,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:23,92.965,92.91,92.94,41183,92.9,93.095,92.77,31096,2.88919e+10,42177,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:24,92.97,92.91,92.94,41183,92.9,93.095,92.77,31097,2.88929e+10,42176,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:24,92.965,92.91,92.94,41183,92.9,93.095,92.77,31098,2.88938e+10,42176,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:25,92.965,92.91,92.94,41183,92.9,93.095,92.77,31098,2.88938e+10,42176,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:25,92.97,92.91,92.94,41183,92.9,93.095,92.77,31099,2.88947e+10,42176,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:26,92.97,92.91,92.94,41183,92.9,93.095,92.77,31107,2.89022e+10,42180,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:26,92.97,92.91,92.94,41183,92.9,93.095,92.77,31107,2.89022e+10,42180,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:27,92.97,92.91,92.94,41183,92.9,93.095,92.77,31107,2.89022e+10,42180,1.79769e+308,1.79769e+308,94.765,91.055
T1806,20180309,15:03:27,92.975,92.91,92.94,41183,92.9,93.095,92.77,31109,2.8904e+10,42179,1.79769e+308,1.79769e+308,94.765,91.055
